Month,Day,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Jan,1,7,3,7,7,1,3,10,9,8,9,1,9,14,16,8,10,1,14,1,1,3,3,8,3,17,9,3,7,1,1,14,7,7,7,3,11,17,1,7,8,9,3,10,1,11,7,16,8,9,3,1,9,3,7,10,7,1,1,3,9,16,8,7,17,16,16,1,1,11,1
Jan,2,7,3,14,15,17,7,8,1,3,9,14,3,14,17,8,15,3,10,14,9,7,7,7,3,1,9,3,16,1,1,16,7,15,1,3,11,1,16,16,17,9,17,18,1,11,1,14,7,3,3,1,9,3,17,16,15,16,11,1,10,1,1,16,3,1,1,2,8,9,17
Jan,3,14,1,10,8,9,7,8,1,8,2,17,7,15,9,10,8,3,16,10,17,10,1,1,3,17,9,3,15,8,11,13,14,9,14,1,3,9,10,8,10,2,17,16,15,17,1,16,7,16,8,2,3,17,8,11,17,16,17,3,3,15,3,10,9,1,9,1,17,15,1
Jan,4,14,3,15,9,9,14,3,1,8,1,16,7,7,3,17,8,3,10,7,8,10,3,7,3,1,3,1,15,7,11,16,11,1,8,17,3,1,7,3,7,3,9,14,8,9,3,11,1,14,3,3,3,16,17,7,15,16,16,18,7,8,1,11,1,1,1,1,17,7,1
Jan,5,17,3,15,12,10,8,9,1,14,17,17,15,1,1,1,10,3,10,14,8,10,15,1,3,1,3,1,8,15,11,1,1,14,7,11,1,3,10,9,14,1,9,11,3,10,3,9,3,14,3,8,1,14,1,16,16,8,11,3,11,8,7,8,8,1,14,1,16,10,3
Jan,6,10,3,11,16,17,1,17,3,14,17,17,10,1,1,1,8,17,8,16,1,11,14,8,3,9,3,17,8,11,11,7,15,17,16,10,9,7,7,9,17,8,9,1,3,17,2,3,3,15,3,10,1,15,1,11,3,14,9,1,17,8,7,9,1,10,14,9,14,7,9
Jan,7,8,9,3,11,1,16,16,1,18,17,1,11,14,1,9,8,16,8,15,9,8,17,8,2,3,3,17,1,1,1,7,10,9,10,16,9,16,7,9,16,1,1,1,9,1,14,1,15,10,1,17,1,16,9,14,3,14,1,17,17,9,17,2,8,16,14,1,14,16,1
Jan,8,3,3,1,8,17,10,10,9,2,1,7,8,15,1,15,7,16,14,10,7,7,16,1,2,17,9,16,1,3,1,16,11,1,7,15,3,10,7,10,7,9,16,1,1,9,14,2,1,1,7,9,17,1,8,11,9,11,3,8,9,8,9,8,8,16,14,3,17,14,14
Jan,9,3,1,11,9,11,1,3,7,8,7,16,8,8,1,15,1,16,11,15,17,16,1,3,1,9,1,17,16,3,3,16,11,1,7,17,9,8,7,7,7,3,16,1,8,3,17,3,9,3,8,1,10,17,8,17,3,15,3,15,1,3,1,2,9,15,12,3,11,8,16
Jan,10,3,3,8,3,17,15,16,16,8,1,11,1,9,1,1,15,1,17,8,8,8,8,1,16,1,8,9,15,1,18,15,17,9,16,17,9,3,15,9,17,3,13,1,1,3,17,2,3,9,7,8,16,1,8,11,3,1,8,1,9,3,1,7,9,7,11,1,10,1,7
