City,Latitude,Longitude
Yerushalayim,31.78,35.22
Tel aviv-yafo,32.07,34.77
Haifa,32.82,34.99
Rishon lez?iyyon,31.96,34.8
Ashdod,31.8,34.64
Be'er sheva,31.25,34.8
Petah? tiqwa,32.09,34.88
Netanya,32.33,34.86
H?olon,32.02,34.76
Bene beraq,32.09,34.85
Bat yam,32.02,34.75
Ramat gan,32.08,34.8
Ashqelon,31.67,34.56
Reh?ovot,31.89,34.8
Herzeliyya,32.17,34.84
Kefar sava,32.19,34.91
H?adera,32.45,34.92
Ra'anana,32.19,34.88
Lod,31.96,34.9
Ramla,31.93,34.86
Naz?erat,32.71,35.3
Bet shemesh,31.75,34.98
Modi'in-makkabim-re'ut,31.9,35.01
Nahariyya,33.03,35.1
Qiryat atta,32.81,35.12
Qiryat gat,31.61,34.76
Giv'atayim,32.06,34.8
'akko,32.94,35.08
Elat,29.56,34.95
Naz?erat 'illit,32.72,35.33
Karmiel,32.93,35.3
Hod hasharon,32.15,34.89
Tiberias,32.8,35.53
Qiryat motzkin,32.82,35.06
Umm al-fahm,32.53,35.16
'afula,32.62,35.29
Qiryat yam,32.84,35.06
Qiryat bialik,32.83,35.08
Rosh haayin,32.1,34.94
Rahat,,
Ramat hasharon,32.15,34.84
Dimona,31.07,35.03
'ir hahamisha,32.95,35.16
Yavne,31.87,34.74
Tayibe,32.27,34.99
Shefar'am,32.82,35.17
Baqa-jatt,32.43,35.05
Or yehuda,32.04,34.85
Pardes h?anna-karkur,32.48,34.98
Ma'ale adummim,31.82,35.35
Shagor,32.92,35.27
Z?efat,32.97,35.51
Nes z?iyyona,31.93,34.8
Yehud-newe efrayim,32.04,34.89
Modi'in illit,,
Tamra,32.85,35.2
Migdal ha'emeq,32.68,35.24
Qiryat ono,32.07,34.85
'arad,31.26,35.22
Ofaqim,31.32,34.61
Betar illit,31.7,35.12
Sakhnin,32.87,35.29
Netivot,31.43,34.6
Daliyat al karmel-'isifya,32.72,35.08
Qiryat shemona,33.21,35.57
Mevasserat ziyyon,31.8,35.15
Nesher,32.75,35.06
Ma'alot-tarshih?a,33.03,35.31
Sederot,31.53,34.58
Tire,32.25,34.96
Qiryat mal'akhi,31.74,34.74
'arrabe,32.85,35.33
Tirat karmel,32.75,34.99
Mugar,32.89,35.41
Yoqne'am illit,32.67,35.13
Shoham,32,34.96
Judeide-maker,32.92,35.15
Ari'el,32.1,35.17
Giv'at shemuel,32.07,34.85
Kafar kanna,32.75,35.35
Kafar qasem,32.12,34.98
Bet she'an,32.51,35.51
Qalansawe,32.29,34.98
Or 'aqiva,32.52,34.91
Yafi',,
Z?oran-qadima,32.29,34.91
Zikhron ya'aqov,32.58,34.95
Reine,32.72,35.3
'ar'ara,32.49,35.1
Kafar manda,32.82,35.25
Kafar qara',32.5,35.05
Gan yavne,31.79,34.71
Qiryat tiv'on,32.73,35.13
Gedera,31.82,34.78
Tel sheva,,
Kokhav ya'ir,,
Ganne tiqwa,32.05,34.87
Kefar yona,32.32,34.93
'ar'ara-banegev,,
Ma'ale iron,,
Giv'at ze'ev,31.87,35.17
Iksal,32.68,35.32
Tur'an,32.77,35.37
Jisr az-zarqa,32.54,34.91
I'billin,32.82,35.18
'ein mahel,32.72,35.35
Azur,32.02,34.8
Qiryat 'eqron,31.85,34.82
Nahef,32.94,35.33
Beit jann,32.97,35.38
Binyamina-giv'at ada,32.53,43.95
Fureidis,32.6,34.95
Kabul,32.87,35.22
Be'er ya'aqov,31.93,34.83
Even yehuda,32.29,34.88
Yeroham,31,34.91
Kuseife,31.25,35.07
Majdal shams,,
Haz?or hagelilit,33,35.55
Hura,,
Deir hanna,32.87,35.36
Kafar yasif,32.98,35.18
Rekhasim,32.75,35.1
Tel mond,32.25,34.93
Dabburiyya,32.7,35.4
Bene ayish,31.78,34.75
Mazkeret batya,31.85,34.83
Bu'eine-nujeidat,32.8,35.37
Jaljulye,32.15,34.95
Rame,32.94,35.41
Efrata,31.65,35.13
Basma,,
Bir el-maksur,32.75,35.23
Laqye,,
Qiryat arba,31.53,35.1
Mashhed,32.74,35.33
Qarne shomeron,32.17,35.08
Metar,,
'ilut,32.72,35.25
El'ad,,
Qazrin,,
Kisra-sumei,32.97,35.3
Pardesiyya,32.3,34.92
Basmat tab'un,32.74,35.15
'omer,31.29,34.85
Zarzir,,
Sha'ab,32.89,35.24
Segev-shalom,32.86,35.26
Ramat yishay,32.7,35.18
Bet dagan,32,34.83
Oranit,32.13,34.98
Abu ghosh,31.8,35.1
Alfe menashe,32.17,35
Kefar weradim,32.99,35.28
Shelomi,33.07,35.1
Buq'ata,,
Lehavim,,
Hurfeish,33.02,35.35
Zemer,,
Tuba-zangariyye,32.97,35.6
Peqi'in,32.98,35.34
