Time,Basis date,Validity date,City,Persist. value,EC,C3
2,01-01-16,02-01-16,Afula,73,52,35
1,02-01-16,02-01-16,Afula,73,60,37
2,01-01-16,02-01-16,Ashdod,82,61,44
1,02-01-16,02-01-16,Ashdod,82,64,46
2,01-01-16,02-01-16,Beer Sheva,86,77,39
1,02-01-16,02-01-16,Beer Sheva,86,75,42
2,01-01-16,02-01-16,Bet Shean,80,62,34
1,02-01-16,02-01-16,Bet Shean,80,68,38
2,01-01-16,02-01-16,Elat,40,40,26
1,02-01-16,02-01-16,Elat,40,42,27
2,01-01-16,02-01-16,En Gedi,52,62,39
1,02-01-16,02-01-16,En Gedi,52,62,40
2,01-01-16,02-01-16,Haifa,77,57,46
1,02-01-16,02-01-16,Haifa,77,60,45
2,01-01-16,02-01-16,Jerusalem,93,64,41
1,02-01-16,02-01-16,Jerusalem,93,71,43
2,01-01-16,02-01-16,Lod,69,57,38
1,02-01-16,02-01-16,Lod,69,62,38
2,01-01-16,02-01-16,Mizpe Ramon,59,60,41
1,02-01-16,02-01-16,Mizpe Ramon,59,63,39
2,01-01-16,02-01-16,Nazareth,80,67,35
1,02-01-16,02-01-16,Nazareth,80,64,33
2,01-01-16,02-01-16,Qazrin,84,65,36
1,02-01-16,02-01-16,Qazrin,84,60,44
2,01-01-16,02-01-16,Tel Aviv,77,58,42
1,02-01-16,02-01-16,Tel Aviv,77,59,38
2,01-01-16,02-01-16,Tiberias,56,58,34
1,02-01-16,02-01-16,Tiberias,56,55,38
2,01-01-16,02-01-16,Zefat,98,65,44
1,02-01-16,02-01-16,Zefat,98,59,46
2,02-01-16,03-01-16,Afula,70,68,51
1,03-01-16,03-01-16,Afula,70,78,49
2,02-01-16,03-01-16,Ashdod,73,61,51
1,03-01-16,03-01-16,Ashdod,73,67,54
2,02-01-16,03-01-16,Beer Sheva,84,53,35
1,03-01-16,03-01-16,Beer Sheva,84,58,33
2,02-01-16,03-01-16,Bet Shean,82,58,39
1,03-01-16,03-01-16,Bet Shean,82,63,41
2,02-01-16,03-01-16,Elat,35,31,24
1,03-01-16,03-01-16,Elat,35,36,30
2,02-01-16,03-01-16,En Gedi,57,51,42
1,03-01-16,03-01-16,En Gedi,57,58,39
2,02-01-16,03-01-16,Haifa,67,86,71
