Time,Basis date,Validity date,City,Persist. value,EC,CO,C3,OH
2,01-01-16,02-01-16,Afula,27,8,7,10,12
1,02-01-16,02-01-16,Afula,27,9,6,5,11
2,01-01-16,02-01-16,Ashdod,26,13,10,9,13
1,02-01-16,02-01-16,Ashdod,26,14,11,16,13
2,01-01-16,02-01-16,Beer Sheva,16,8,12,15,9
1,02-01-16,02-01-16,Beer Sheva,16,10,11,7,9
2,01-01-16,02-01-16,Bet Shean,23,3,4,6,9
1,02-01-16,02-01-16,Bet Shean,23,3,5,7,11
2,01-01-16,02-01-16,Elat,7,7,7,7,6
1,02-01-16,02-01-16,Elat,7,7,6,7,7
2,01-01-16,02-01-16,En Gedi,19,9,4,10,11
1,02-01-16,02-01-16,En Gedi,19,9,7,13,13
2,01-01-16,02-01-16,Haifa,19,10,13,13,18
1,02-01-16,02-01-16,Haifa,19,11,13,11,13
2,01-01-16,02-01-16,Jerusalem,21,9,6,8,12
1,02-01-16,02-01-16,Jerusalem,21,10,10,8,13
2,01-01-16,02-01-16,Lod,16,9,5,7,7
1,02-01-16,02-01-16,Lod,16,9,5,5,9
2,01-01-16,02-01-16,Mizpe Ramon,14,10,9,11,9
1,02-01-16,02-01-16,Mizpe Ramon,14,10,10,12,10
2,01-01-16,02-01-16,Nazareth,28,8,10,10,12
1,02-01-16,02-01-16,Nazareth,28,10,7,13,10
2,01-01-16,02-01-16,Qazrin,19,11,10,11,10
1,02-01-16,02-01-16,Qazrin,19,11,8,9,14
2,01-01-16,02-01-16,Tel Aviv,21,9,6,5,7
1,02-01-16,02-01-16,Tel Aviv,21,8,4,6,6
2,01-01-16,02-01-16,Tiberias,17,6,7,5,10
1,02-01-16,02-01-16,Tiberias,17,7,6,5,12
2,01-01-16,02-01-16,Zefat,41,7,8,14,11
1,02-01-16,02-01-16,Zefat,41,8,9,10,12
2,02-01-16,03-01-16,Afula,6,9,4,8,14
1,03-01-16,03-01-16,Afula,6,8,5,9,12
2,02-01-16,03-01-16,Ashdod,13,22,22,20,21
1,03-01-16,03-01-16,Ashdod,14,23,21,22,21
2,02-01-16,03-01-16,Beer Sheva,11,10,9,10,9
1,03-01-16,03-01-16,Beer Sheva,11,10,8,12,11
2,02-01-16,03-01-16,Bet Shean,10,8,4,19,10
1,03-01-16,03-01-16,Bet Shean,10,8,2,15,12
2,02-01-16,03-01-16,Elat,5,5,8,5,2
1,03-01-16,03-01-16,Elat,5,4,7,4,1
2,02-01-16,03-01-16,En Gedi,18,8,6,12,10
1,03-01-16,03-01-16,En Gedi,18,7,10,10,11
2,02-01-16,03-01-16,Haifa,10,14,17,21,20
1,03-01-16,03-01-16,Haifa,11,15,12,20,19
2,02-01-16,03-01-16,Jerusalem,10,9,13,19,9
1,03-01-16,03-01-16,Jerusalem,10,9,13,15,10
2,02-01-16,03-01-16,Lod,9,12,11,15,9
1,03-01-16,03-01-16,Lod,9,12,13,14,10
2,02-01-16,03-01-16,Mizpe Ramon,10,8,7,10,6
1,03-01-16,03-01-16,Mizpe Ramon,10,9,8,11,7
2,02-01-16,03-01-16,Nazareth,16,8,6,11,10
1,03-01-16,03-01-16,Nazareth,16,8,5,12,10
2,02-01-16,03-01-16,Qazrin,8,10,3,13,4
1,03-01-16,03-01-16,Qazrin,8,10,2,8,4
2,02-01-16,03-01-16,Tel Aviv,11,11,8,11,8
1,03-01-16,03-01-16,Tel Aviv,11,13,10,10,11
2,02-01-16,03-01-16,Tiberias,12,5,3,16,4
1,03-01-16,03-01-16,Tiberias,12,5,3,6,3
2,02-01-16,03-01-16,Zefat,14,5,2,13,6
1,03-01-16,03-01-16,Zefat,14,6,3,12,3
2,03-01-16,04-01-16,Afula,15,7,10,7,15
1,04-01-16,04-01-16,Afula,15,6,4,8,12
2,03-01-16,04-01-16,Ashdod,22,17,17,17,17
1,04-01-16,04-01-16,Ashdod,23,16,17,16,15
2,03-01-16,04-01-16,Beer Sheva,11,9,8,9,10
1,04-01-16,04-01-16,Beer Sheva,11,8,8,9,8
2,03-01-16,04-01-16,Bet Shean,18,4,2,11,6
1,04-01-16,04-01-16,Bet Shean,18,5,2,8,12
2,03-01-16,04-01-16,Elat,5,5,5,10,4
1,04-01-16,04-01-16,Elat,5,5,7,11,2
2,03-01-16,04-01-16,En Gedi,17,7,6,10,10
1,04-01-16,04-01-16,En Gedi,17,6,7,11,8
2,03-01-16,04-01-16,Haifa,14,13,20,15,21
1,04-01-16,04-01-16,Haifa,15,12,18,14,19
2,03-01-16,04-01-16,Jerusalem,12,8,11,10,10
1,04-01-16,04-01-16,Jerusalem,12,8,10,11,7
2,03-01-16,04-01-16,Lod,12,10,10,11,11
1,04-01-16,04-01-16,Lod,12,10,10,11,10
