validityDate,city,observedMaxTemp
02/01/2016,Afula,11
02/01/2016,Ashdod,15
02/01/2016,Beer Sheva,10
02/01/2016,Bet Shean,12
02/01/2016,Elat,17
02/01/2016,En Gedi,16
02/01/2016,Haifa,10
02/01/2016,Jerusalem,5
02/01/2016,Lod,13
02/01/2016,Mizpe Ramon,8
02/01/2016,Nazareth,9
02/01/2016,Qazrin,8
02/01/2016,Tel Aviv,14
02/01/2016,Tiberias,13
02/01/2016,Zefat,3
03/01/2016,Afula,15
03/01/2016,Ashdod,17
03/01/2016,Beer Sheva,15
03/01/2016,Bet Shean,13
03/01/2016,Elat,22
03/01/2016,En Gedi,22
03/01/2016,Haifa,13
03/01/2016,Jerusalem,9
03/01/2016,Lod,15
03/01/2016,Mizpe Ramon,14
03/01/2016,Nazareth,8
03/01/2016,Qazrin,8
03/01/2016,Tel Aviv,14
03/01/2016,Tiberias,13
03/01/2016,Zefat,6
04/01/2016,Afula,16
04/01/2016,Ashdod,18
04/01/2016,Beer Sheva,17
04/01/2016,Bet Shean,16
04/01/2016,Elat,22
04/01/2016,En Gedi,22
04/01/2016,Haifa,15
04/01/2016,Jerusalem,12
04/01/2016,Lod,18
04/01/2016,Mizpe Ramon,15
04/01/2016,Nazareth,12
04/01/2016,Qazrin,14
04/01/2016,Tel Aviv,17
04/01/2016,Tiberias,18
04/01/2016,Zefat,8
05/01/2016,Afula,20
05/01/2016,Ashdod,19
05/01/2016,Beer Sheva,19
05/01/2016,Bet Shean,21
05/01/2016,Elat,24
05/01/2016,En Gedi,25
05/01/2016,Haifa,17
05/01/2016,Jerusalem,14
05/01/2016,Lod,20
05/01/2016,Mizpe Ramon,17
05/01/2016,Nazareth,16
05/01/2016,Qazrin,15
05/01/2016,Tel Aviv,19
05/01/2016,Tiberias,20
05/01/2016,Zefat,10
06/01/2016,Afula,21
06/01/2016,Ashdod,20
06/01/2016,Beer Sheva,22
06/01/2016,Bet Shean,22
06/01/2016,Elat,26
06/01/2016,En Gedi,23
06/01/2016,Haifa,19
06/01/2016,Jerusalem,18
06/01/2016,Lod,22
06/01/2016,Mizpe Ramon,18
06/01/2016,Nazareth,19
06/01/2016,Qazrin,19
06/01/2016,Tel Aviv,21
06/01/2016,Tiberias,21
06/01/2016,Zefat,14
07/01/2016,Afula,18
07/01/2016,Ashdod,21
07/01/2016,Beer Sheva,23
07/01/2016,Bet Shean,18
07/01/2016,Elat,25
07/01/2016,En Gedi,22
07/01/2016,Haifa,18
07/01/2016,Jerusalem,18
07/01/2016,Lod,22
07/01/2016,Mizpe Ramon,21
07/01/2016,Nazareth,16
07/01/2016,Qazrin,18
07/01/2016,Tel Aviv,21
07/01/2016,Tiberias,20
07/01/2016,Zefat,13
08/01/2016,Afula,16
08/01/2016,Ashdod,18
08/01/2016,Beer Sheva,16
08/01/2016,Bet Shean,19
08/01/2016,Elat,22
08/01/2016,En Gedi,23
08/01/2016,Haifa,15
08/01/2016,Jerusalem,11
08/01/2016,Lod,18
08/01/2016,Mizpe Ramon,13
08/01/2016,Nazareth,12
08/01/2016,Qazrin,10
08/01/2016,Tel Aviv,17
08/01/2016,Tiberias,15
08/01/2016,Zefat,8
09/01/2016,Afula,18
09/01/2016,Ashdod,18
09/01/2016,Beer Sheva,18
09/01/2016,Bet Shean,20
09/01/2016,Elat,24
09/01/2016,En Gedi,25
09/01/2016,Haifa,17
09/01/2016,Jerusalem,12
09/01/2016,Lod,18
09/01/2016,Mizpe Ramon,14
09/01/2016,Nazareth,16
09/01/2016,Qazrin,16
09/01/2016,Tel Aviv,19
09/01/2016,Tiberias,21
09/01/2016,Zefat,10
10/01/2016,Afula,18
10/01/2016,Ashdod,19
10/01/2016,Beer Sheva,19
10/01/2016,Bet Shean,20
10/01/2016,Elat,23
10/01/2016,En Gedi,22
10/01/2016,Haifa,16
10/01/2016,Jerusalem,14
10/01/2016,Lod,20
10/01/2016,Mizpe Ramon,14
10/01/2016,Nazareth,16
10/01/2016,Qazrin,15
10/01/2016,Tel Aviv,19
10/01/2016,Tiberias,19
10/01/2016,Zefat,11
11/01/2016,Afula,18
11/01/2016,Ashdod,18
11/01/2016,Beer Sheva,20
11/01/2016,Bet Shean,18
11/01/2016,Elat,22
11/01/2016,En Gedi,21
11/01/2016,Haifa,16
11/01/2016,Jerusalem,17
11/01/2016,Lod,18
11/01/2016,Mizpe Ramon,17
11/01/2016,Nazareth,16
11/01/2016,Qazrin,16
11/01/2016,Tel Aviv,17
11/01/2016,Tiberias,18
11/01/2016,Zefat,11
12/01/2016,Afula,20
12/01/2016,Ashdod,19
12/01/2016,Beer Sheva,20
12/01/2016,Bet Shean,21
12/01/2016,Elat,22
12/01/2016,En Gedi,22
12/01/2016,Haifa,19
12/01/2016,Jerusalem,17
12/01/2016,Lod,20
12/01/2016,Mizpe Ramon,16
12/01/2016,Nazareth,19
12/01/2016,Qazrin,19
12/01/2016,Tel Aviv,20
12/01/2016,Tiberias,21
12/01/2016,Zefat,13
13/01/2016,Afula,21
13/01/2016,Ashdod,19
13/01/2016,Beer Sheva,22
13/01/2016,Bet Shean,22
13/01/2016,Elat,25
13/01/2016,En Gedi,22
13/01/2016,Haifa,20
13/01/2016,Jerusalem,19
13/01/2016,Lod,21
13/01/2016,Mizpe Ramon,19
13/01/2016,Nazareth,19
13/01/2016,Qazrin,20
13/01/2016,Tel Aviv,20
13/01/2016,Tiberias,21
13/01/2016,Zefat,16
14/01/2016,Afula,19
14/01/2016,Ashdod,19
14/01/2016,Beer Sheva,19
14/01/2016,Bet Shean,18
14/01/2016,Elat,24
14/01/2016,En Gedi,24
14/01/2016,Haifa,16
14/01/2016,Jerusalem,15
14/01/2016,Lod,19
14/01/2016,Mizpe Ramon,17
14/01/2016,Nazareth,15
14/01/2016,Qazrin,13
14/01/2016,Tel Aviv,18
14/01/2016,Tiberias,17
14/01/2016,Zefat,10
15/01/2016,Afula,20
15/01/2016,Ashdod,19
15/01/2016,Beer Sheva,19
15/01/2016,Bet Shean,21
15/01/2016,Elat,24
15/01/2016,En Gedi,23
15/01/2016,Haifa,18
15/01/2016,Jerusalem,14
15/01/2016,Lod,19
15/01/2016,Mizpe Ramon,15
15/01/2016,Nazareth,17
15/01/2016,Qazrin,17
15/01/2016,Tel Aviv,19
15/01/2016,Tiberias,21
15/01/2016,Zefat,12
16/01/2016,Afula,22
16/01/2016,Ashdod,19
16/01/2016,Beer Sheva,23
16/01/2016,Bet Shean,24
16/01/2016,Elat,24
16/01/2016,En Gedi,25
16/01/2016,Haifa,20
16/01/2016,Jerusalem,17
16/01/2016,Lod,22
16/01/2016,Mizpe Ramon,17
16/01/2016,Nazareth,18
16/01/2016,Qazrin,19
16/01/2016,Tel Aviv,20
16/01/2016,Tiberias,23
16/01/2016,Zefat,14
17/01/2016,Afula,22
17/01/2016,Ashdod,20
17/01/2016,Beer Sheva,25
17/01/2016,Bet Shean,23
17/01/2016,Elat,25
17/01/2016,En Gedi,24
17/01/2016,Haifa,21
17/01/2016,Jerusalem,19
17/01/2016,Lod,23
17/01/2016,Mizpe Ramon,21
17/01/2016,Nazareth,19
17/01/2016,Qazrin,20
17/01/2016,Tel Aviv,20
17/01/2016,Tiberias,24
17/01/2016,Zefat,15
18/01/2016,Afula,16
18/01/2016,Ashdod,17
18/01/2016,Beer Sheva,16
18/01/2016,Bet Shean,18
18/01/2016,Elat,22
18/01/2016,En Gedi,22
18/01/2016,Haifa,15
18/01/2016,Jerusalem,10
18/01/2016,Lod,15
18/01/2016,Mizpe Ramon,11
18/01/2016,Nazareth,13
18/01/2016,Qazrin,13
18/01/2016,Tel Aviv,16
18/01/2016,Tiberias,19
18/01/2016,Zefat,9
19/01/2016,Afula,13
19/01/2016,Ashdod,16
19/01/2016,Beer Sheva,14
19/01/2016,Bet Shean,13
19/01/2016,Elat,20
19/01/2016,En Gedi,20
19/01/2016,Haifa,13
19/01/2016,Jerusalem,8
19/01/2016,Lod,16
19/01/2016,Mizpe Ramon,11
19/01/2016,Nazareth,11
19/01/2016,Qazrin,9
19/01/2016,Tel Aviv,15
19/01/2016,Tiberias,14
19/01/2016,Zefat,6
20/01/2016,Afula,15
20/01/2016,Ashdod,16
20/01/2016,Beer Sheva,17
20/01/2016,Bet Shean,17
20/01/2016,Elat,22
20/01/2016,En Gedi,21
20/01/2016,Haifa,14
20/01/2016,Jerusalem,12
20/01/2016,Lod,19
20/01/2016,Mizpe Ramon,13
20/01/2016,Nazareth,12
20/01/2016,Qazrin,12
20/01/2016,Tel Aviv,16
20/01/2016,Tiberias,16
20/01/2016,Zefat,7
21/01/2016,Afula,18
