Time,Basis date,Validity date,City,Persist. value,EC,CO,C3,OH
2,01-01-16,02-01-16,Afula,12,12,12,12,13
1,02-01-16,02-01-16,Afula,12,11,11,12,13
2,01-01-16,02-01-16,Ashdod,15,13,13,14,14
1,02-01-16,02-01-16,Ashdod,15,14,12,14,14
2,01-01-16,02-01-16,Beer Sheva,10,10,10,12,9
1,02-01-16,02-01-16,Beer Sheva,10,10,11,12,9
2,01-01-16,02-01-16,Bet Shean,15,12,14,14,13
1,02-01-16,02-01-16,Bet Shean,15,11,14,14,13
2,01-01-16,02-01-16,Elat,19,12,14,15,12
1,02-01-16,02-01-16,Elat,19,12,14,15,13
2,01-01-16,02-01-16,En Gedi,17,13,14,15,14
1,02-01-16,02-01-16,En Gedi,17,13,13,15,15
2,01-01-16,02-01-16,Haifa,10,11,11,11,10
1,02-01-16,02-01-16,Haifa,10,11,11,11,10
2,01-01-16,02-01-16,Jerusalem,5,8,7,8,8
1,02-01-16,02-01-16,Jerusalem,5,8,8,8,7
2,01-01-16,02-01-16,Lod,13,12,10,13,10
1,02-01-16,02-01-16,Lod,13,12,10,13,10
2,01-01-16,02-01-16,Mizpe Ramon,8,7,9,9,7
1,02-01-16,02-01-16,Mizpe Ramon,8,7,9,9,8
2,01-01-16,02-01-16,Nazareth,8,10,9,11,6
1,02-01-16,02-01-16,Nazareth,8,9,9,11,7
2,01-01-16,02-01-16,Qazrin,8,9,10,9,6
1,02-01-16,02-01-16,Qazrin,8,8,9,9,7
2,01-01-16,02-01-16,Tel Aviv,13,13,10,13,13
1,02-01-16,02-01-16,Tel Aviv,13,13,10,13,10
2,01-01-16,02-01-16,Tiberias,14,11,13,15,6
1,02-01-16,02-01-16,Tiberias,14,10,12,14,7
2,01-01-16,02-01-16,Zefat,3,9,8,6,6
1,02-01-16,02-01-16,Zefat,3,8,8,6,7
2,02-01-16,03-01-16,Afula,11,12,12,13,14
1,03-01-16,03-01-16,Afula,11,11,11,14,13
2,02-01-16,03-01-16,Ashdod,15,16,14,16,17
1,03-01-16,03-01-16,Ashdod,15,16,15,16,17
2,02-01-16,03-01-16,Beer Sheva,10,13,13,14,14
1,03-01-16,03-01-16,Beer Sheva,10,14,12,14,15
2,02-01-16,03-01-16,Bet Shean,12,13,12,14,15
1,03-01-16,03-01-16,Bet Shean,12,13,11,14,14
2,02-01-16,03-01-16,Elat,17,16,17,17,16
1,03-01-16,03-01-16,Elat,17,17,17,18,16
2,02-01-16,03-01-16,En Gedi,16,16,17,17,18
1,03-01-16,03-01-16,En Gedi,16,15,17,17,18
2,02-01-16,03-01-16,Haifa,10,13,11,12,13
1,03-01-16,03-01-16,Haifa,10,14,11,13,14
2,02-01-16,03-01-16,Jerusalem,5,11,9,8,10
1,03-01-16,03-01-16,Jerusalem,5,10,9,8,10
2,02-01-16,03-01-16,Lod,13,13,12,13,12
1,03-01-16,03-01-16,Lod,13,13,12,14,11
2,02-01-16,03-01-16,Mizpe Ramon,8,11,12,12,12
1,03-01-16,03-01-16,Mizpe Ramon,8,12,12,13,12
2,02-01-16,03-01-16,Nazareth,9,10,8,9,9
1,03-01-16,03-01-16,Nazareth,9,8,7,9,8
2,02-01-16,03-01-16,Qazrin,8,9,8,9,8
1,03-01-16,03-01-16,Qazrin,8,9,8,8,8
2,02-01-16,03-01-16,Tel Aviv,14,14,13,13,16
1,03-01-16,03-01-16,Tel Aviv,14,14,12,14,16
2,02-01-16,03-01-16,Tiberias,13,10,10,15,9
1,03-01-16,03-01-16,Tiberias,13,10,9,13,8
2,02-01-16,03-01-16,Zefat,3,8,7,6,8
1,03-01-16,03-01-16,Zefat,3,8,6,7,8
2,03-01-16,04-01-16,Afula,15,14,16,16,14
1,04-01-16,04-01-16,Afula,15,14,16,14,17
2,03-01-16,04-01-16,Ashdod,17,17,16,17,17
1,04-01-16,04-01-16,Ashdod,17,18,16,17,17
2,03-01-16,04-01-16,Beer Sheva,15,15,16,17,16
1,04-01-16,04-01-16,Beer Sheva,15,16,15,17,16
2,03-01-16,04-01-16,Bet Shean,13,16,16,18,18
