Time,Basis date,Validity date,City,Persist. value,EC,CO,C3,OH
1,02-01-16,02-01-16,Afula,6,7,6,6,7
2,01-01-16,02-01-16,Afula,6,6,7,7,7
1,02-01-16,02-01-16,Ashdod,10,12,9,10,10
2,01-01-16,02-01-16,Ashdod,10,12,10,12,10
1,02-01-16,02-01-16,Beer Sheva,5,7,7,7,5
2,01-01-16,02-01-16,Beer Sheva,5,6,7,7,6
1,02-01-16,02-01-16,Bet Shean,8,8,7,8,7
2,01-01-16,02-01-16,Bet Shean,8,8,7,8,7
1,02-01-16,02-01-16,Elat,9,4,7,6,6
2,01-01-16,02-01-16,Elat,9,4,7,7,7
1,02-01-16,02-01-16,En Gedi,11,9,12,10,11
2,01-01-16,02-01-16,En Gedi,11,8,13,11,11
1,02-01-16,02-01-16,Haifa,6,7,8,8,10
2,01-01-16,02-01-16,Haifa,6,8,7,7,10
1,02-01-16,02-01-16,Jerusalem,1,4,5,5,6
2,01-01-16,02-01-16,Jerusalem,1,4,6,4,5
1,02-01-16,02-01-16,Lod,8,7,7,9,7
2,01-01-16,02-01-16,Lod,8,7,8,8,7
1,02-01-16,02-01-16,Mizpe Ramon,2,3,5,4,3
2,01-01-16,02-01-16,Mizpe Ramon,2,2,5,5,4
1,02-01-16,02-01-16,Nazareth,4,5,6,6,4
2,01-01-16,02-01-16,Nazareth,4,5,5,6,4
1,02-01-16,02-01-16,Qazrin,3,6,5,5,4
2,01-01-16,02-01-16,Qazrin,3,5,4,5,4
1,02-01-16,02-01-16,Tel Aviv,8,8,7,7,7
2,01-01-16,02-01-16,Tel Aviv,8,8,7,8,8
1,02-01-16,02-01-16,Tiberias,8,8,8,11,4
2,01-01-16,02-01-16,Tiberias,8,8,8,8,4
1,02-01-16,02-01-16,Zefat,-1,4,4,2,4
2,01-01-16,02-01-16,Zefat,-1,4,4,2,4
1,03-01-16,03-01-16,Afula,7,9,8,9,10
2,02-01-16,03-01-16,Afula,7,5,10,11,8
1,03-01-16,03-01-16,Ashdod,10,13,11,13,13
2,02-01-16,03-01-16,Ashdod,10,13,13,13,12
1,03-01-16,03-01-16,Beer Sheva,7,8,8,9,9
2,02-01-16,03-01-16,Beer Sheva,7,8,9,9,9
1,03-01-16,03-01-16,Bet Shean,9,10,8,11,12
2,02-01-16,03-01-16,Bet Shean,9,8,10,11,11
1,03-01-16,03-01-16,Elat,6,7,9,9,8
2,02-01-16,03-01-16,Elat,6,7,10,9,8
1,03-01-16,03-01-16,En Gedi,12,10,14,14,14
2,02-01-16,03-01-16,En Gedi,12,11,15,12,14
1,03-01-16,03-01-16,Haifa,8,9,9,11,12
2,02-01-16,03-01-16,Haifa,8,8,10,10,8
1,03-01-16,03-01-16,Jerusalem,4,8,7,7,9
2,02-01-16,03-01-16,Jerusalem,4,8,8,7,8
1,03-01-16,03-01-16,Lod,9,10,10,12,11
2,02-01-16,03-01-16,Lod,9,10,11,12,9
1,03-01-16,03-01-16,Mizpe Ramon,3,6,6,7,7
2,02-01-16,03-01-16,Mizpe Ramon,3,4,7,6,7
1,03-01-16,03-01-16,Nazareth,6,7,7,8,7
2,02-01-16,03-01-16,Nazareth,6,6,8,9,6
1,03-01-16,03-01-16,Qazrin,6,6,6,8,7
2,02-01-16,03-01-16,Qazrin,6,6,8,9,5
1,03-01-16,03-01-16,Tel Aviv,8,11,9,11,11
2,02-01-16,03-01-16,Tel Aviv,8,10,10,11,9
1,03-01-16,03-01-16,Tiberias,9,9,9,13,7
2,02-01-16,03-01-16,Tiberias,9,8,12,11,6
1,03-01-16,03-01-16,Zefat,2,5,6,6,7
2,02-01-16,03-01-16,Zefat,2,5,7,6,5
1,04-01-16,04-01-16,Afula,6,8,11,9,12
2,03-01-16,04-01-16,Afula,6,11,10,9,12
1,04-01-16,04-01-16,Ashdod,13,14,11,13,13
2,03-01-16,04-01-16,Ashdod,13,14,12,13,13
1,04-01-16,04-01-16,Beer Sheva,8,7,9,10,10
2,03-01-16,04-01-16,Beer Sheva,8,7,9,10,9
1,04-01-16,04-01-16,Bet Shean,6,10,11,9,14
2,03-01-16,04-01-16,Bet Shean,6,11,11,11,12
1,04-01-16,04-01-16,Elat,10,9,11,10,9
2,03-01-16,04-01-16,Elat,10,9,11,11,10
1,04-01-16,04-01-16,En Gedi,16,9,14,15,14
2,03-01-16,04-01-16,En Gedi,16,9,14,15,14
1,04-01-16,04-01-16,Haifa,9,12,11,12,13
2,03-01-16,04-01-16,Haifa,9,12,12,11,13
1,04-01-16,04-01-16,Jerusalem,7,7,8,9,9
2,03-01-16,04-01-16,Jerusalem,7,8,9,8,9
1,04-01-16,04-01-16,Lod,10,10,10,11,11
2,03-01-16,04-01-16,Lod,10,11,11,11,11
1,04-01-16,04-01-16,Mizpe Ramon,7,5,9,8,8
2,03-01-16,04-01-16,Mizpe Ramon,7,6,8,8,8
1,04-01-16,04-01-16,Nazareth,8,10,10,9,10
2,03-01-16,04-01-16,Nazareth,8,10,9,9,9
1,04-01-16,04-01-16,Qazrin,6,8,8,8,9
2,03-01-16,04-01-16,Qazrin,6,8,9,9,9
1,04-01-16,04-01-16,Tel Aviv,11,11,10,10,11
2,03-01-16,04-01-16,Tel Aviv,11,11,9,10,11
1,04-01-16,04-01-16,Tiberias,10,10,11,14,10
2,03-01-16,04-01-16,Tiberias,10,10,12,11,9
1,04-01-16,04-01-16,Zefat,4,8,8,5,9
2,03-01-16,04-01-16,Zefat,4,8,8,6,9
1,05-01-16,05-01-16,Afula,10,9,10,9,12
2,04-01-16,05-01-16,Afula,10,9,10,9,12
1,05-01-16,05-01-16,Ashdod,14,14,14,14,13
2,04-01-16,05-01-16,Ashdod,14,14,14,14,14
1,05-01-16,05-01-16,Beer Sheva,7,9,10,12,10
2,04-01-16,05-01-16,Beer Sheva,7,9,11,12,10
1,05-01-16,05-01-16,Bet Shean,12,10,10,10,12
2,04-01-16,05-01-16,Bet Shean,12,10,11,10,14
1,05-01-16,05-01-16,Elat,11,10,12,11,10
2,04-01-16,05-01-16,Elat,11,10,13,12,15
1,05-01-16,05-01-16,En Gedi,14,10,15,13,15
2,04-01-16,05-01-16,En Gedi,14,10,14,13,15
1,05-01-16,05-01-16,Haifa,13,12,11,13,13
2,04-01-16,05-01-16,Haifa,13,12,12,12,13
1,05-01-16,05-01-16,Jerusalem,9,8,10,8,11
2,04-01-16,05-01-16,Jerusalem,9,8,10,9,11
1,05-01-16,05-01-16,Lod,12,11,13,12,11
2,04-01-16,05-01-16,Lod,12,11,13,12,12
1,05-01-16,05-01-16,Mizpe Ramon,9,7,10,10,9
2,04-01-16,05-01-16,Mizpe Ramon,9,7,10,10,10
1,05-01-16,05-01-16,Nazareth,11,10,9,9,10
2,04-01-16,05-01-16,Nazareth,11,10,9,9,10
1,05-01-16,05-01-16,Qazrin,10,7,8,9,8
2,04-01-16,05-01-16,Qazrin,10,8,9,9,9
1,05-01-16,05-01-16,Tel Aviv,13,11,11,11,11
2,04-01-16,05-01-16,Tel Aviv,13,11,11,10,12
1,05-01-16,05-01-16,Tiberias,13,10,11,11,10
2,04-01-16,05-01-16,Tiberias,13,10,12,11,11
1,05-01-16,05-01-16,Zefat,7,8,8,8,8
2,04-01-16,05-01-16,Zefat,7,7,8,8,9
1,06-01-16,06-01-16,Afula,6,8,12,9,11
2,05-01-16,06-01-16,Afula,6,9,11,10,12
1,06-01-16,06-01-16,Ashdod,13,15,14,15,15
2,05-01-16,06-01-16,Ashdod,13,15,14,14,12
1,06-01-16,06-01-16,Beer Sheva,6,11,12,12,11
2,05-01-16,06-01-16,Beer Sheva,6,10,12,13,11
1,06-01-16,06-01-16,Bet Shean,8,10,10,10,11
2,05-01-16,06-01-16,Bet Shean,8,10,10,11,12
1,06-01-16,06-01-16,Elat,11,10,14,11,13
2,05-01-16,06-01-16,Elat,11,9,14,14,12
1,06-01-16,06-01-16,En Gedi,13,15,14,13,14
2,05-01-16,06-01-16,En Gedi,13,16,13,14,15
1,06-01-16,06-01-16,Haifa,14,13,12,12,13
2,05-01-16,06-01-16,Haifa,14,13,12,12,14
1,06-01-16,06-01-16,Jerusalem,10,9,11,10,11
2,05-01-16,06-01-16,Jerusalem,10,9,10,11,12
1,06-01-16,06-01-16,Lod,10,11,14,13,13
2,05-01-16,06-01-16,Lod,10,10,14,14,11
1,06-01-16,06-01-16,Mizpe Ramon,10,9,11,11,11
2,05-01-16,06-01-16,Mizpe Ramon,10,9,11,11,12
1,06-01-16,06-01-16,Nazareth,11,11,12,12,11
2,05-01-16,06-01-16,Nazareth,11,11,11,12,13
1,06-01-16,06-01-16,Qazrin,8,8,11,11,11
2,05-01-16,06-01-16,Qazrin,8,8,11,10,11
1,06-01-16,06-01-16,Tel Aviv,13,10,12,12,11
2,05-01-16,06-01-16,Tel Aviv,13,11,12,12,13
1,06-01-16,06-01-16,Tiberias,11,11,12,13,11
2,05-01-16,06-01-16,Tiberias,11,11,12,13,11
1,06-01-16,06-01-16,Zefat,7,8,9,9,11
2,05-01-16,06-01-16,Zefat,7,7,9,9,11
1,07-01-16,07-01-16,Afula,6,12,12,12,13
2,06-01-16,07-01-16,Afula,6,12,11,12,13
1,07-01-16,07-01-16,Ashdod,12,16,15,14,15
2,06-01-16,07-01-16,Ashdod,12,15,16,15,15
1,07-01-16,07-01-16,Beer Sheva,9,11,11,11,12
2,06-01-16,07-01-16,Beer Sheva,9,11,10,12,13
1,07-01-16,07-01-16,Bet Shean,8,12,13,13,16
2,06-01-16,07-01-16,Bet Shean,8,12,13,13,16
1,07-01-16,07-01-16,Elat,12,12,14,13,14
2,06-01-16,07-01-16,Elat,12,12,14,13,14
1,07-01-16,07-01-16,En Gedi,15,12,16,14,17
2,06-01-16,07-01-16,En Gedi,15,12,16,14,18
